NOM DE LA RESSOURCE;DESCRIPTION;LIEN;IDs - FILTRES;IMAGE;AUTEUR.ICES
Picojoules;à venir;https://picojoule.fr/;Association;https://static.wixstatic.com/media/9c0294_10806d3e86b04622b058669f09f2be9c~mv2.png/v1/fill/w_758,h_206,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/banni%C3%A8reinternet_edited.png;-
Glocal - SemApps;à venir;https://semapps.gl.assemblee-virtuelle.org/;Outils numériques;;-
Assemblée virtuelle;à venir;http://www.virtual-assembly.org/;Association;https://www.virtual-assembly.org/wp-content/uploads/2022/01/Baniere-homepage-AV-1024x576.png;-
Forum LowTRE;à venir;https://forum-lowtre-ecosesa.univ-grenoble-alpes.fr/;Outils numériques;http://forum-lowtre-ecosesa.univ-grenoble-alpes.fr/uploads/default/original/1X/bcd3acf616277c848f5a63940b2baafffc92c20d.jpeg;-
