NOM DE LA RESSOURCE;DESCRIPTION;LIEN;IDs - FILTRES;IMAGE;AUTEUR.ICES
Etude ACV Méthanisation;à venir;https://github.com/Konsilion/PicoJoule_Data/blob/master/ACV/CP_EtudeACVMethanisation_VF_0.pdf;ACV;https://static.wixstatic.com/media/9c0294_10806d3e86b04622b058669f09f2be9c~mv2.png/v1/fill/w_758,h_206,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/banni%C3%A8reinternet_edited.png;Picojoules
Rapport ACV Biométhane;à venir;https://github.com/Konsilion/PicoJoule_Data/blob/master/ACV/Rapport%20ACV_Biomethane%20issu%20de%20ressources%20agricoles_INRAE%20Transfert_GRDF....pdf;ACV;https://static.wixstatic.com/media/9c0294_10806d3e86b04622b058669f09f2be9c~mv2.png/v1/fill/w_758,h_206,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/banni%C3%A8reinternet_edited.png;Picojoules
Impacts filière compostage;à venir;https://github.com/Konsilion/PicoJoule_Data/blob/master/ACV/acv_impact_filiere_compostage_methanisation_rapport_.pdf;ACV;https://static.wixstatic.com/media/9c0294_10806d3e86b04622b058669f09f2be9c~mv2.png/v1/fill/w_758,h_206,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/banni%C3%A8reinternet_edited.png;Picojoules
Purification du CO2;à venir;https://github.com/Konsilion/PicoJoule_Data/blob/master/Epuration/Dossier%20purification%20biogaz%20-%20r%C3%A9cup%C3%A9ration%20CO2%20-%20GRDF.pdf;CO2;https://static.wixstatic.com/media/9c0294_10806d3e86b04622b058669f09f2be9c~mv2.png/v1/fill/w_758,h_206,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/banni%C3%A8reinternet_edited.png;Picojoules
Rapport séparation CO2;à venir;https://github.com/Konsilion/PicoJoule_Data/blob/master/Epuration/Dossier%20s%C3%A9paration%20CO2%20par%20pression.odt;CO2;https://static.wixstatic.com/media/9c0294_10806d3e86b04622b058669f09f2be9c~mv2.png/v1/fill/w_758,h_206,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/banni%C3%A8reinternet_edited.png;Picojoules
Mise en place laboratoire - Picométhanisation;à venir;https://github.com/Konsilion/PicoJoule_Data/blob/master/Stages/CR_Stage_PicoJoule.pdf;Stages;https://static.wixstatic.com/media/9c0294_10806d3e86b04622b058669f09f2be9c~mv2.png/v1/fill/w_758,h_206,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/banni%C3%A8reinternet_edited.png;Picojoules
Plans 3D - Capteur solaire thermique;à venir;https://grabcad.com/library/automated-solar-air-heater-1;Plans 3D;https://d2t1xqejof9utc.cloudfront.net/screenshots/pics/9706514cafbb9a4c9769b5cef556c13c/large.png;Quentin PLISSON
Methaconcept;à venir;https://github.com/Konsilion/MethaConcept;Git repo;https://konsilion.fr/wp/wp-content/uploads/2022/04/Logo_Konsilion_V2-1024x325.png;Nicolas Brémond
